q_Ainv,d_A,intensity
2.660000,2.362100,3860.305242
2.670000,2.353253,3870.928399
2.680000,2.344472,3867.119033
2.690000,2.335757,3849.419813
2.700000,2.327106,3818.919638
2.710000,2.318519,3777.222678
2.720000,2.309995,3726.388955
2.730000,2.301533,3668.849280
2.740000,2.293133,3607.298903
2.750000,2.284795,3544.575461
2.760000,2.276516,3483.527642
2.770000,2.268298,3426.881463
2.780000,2.260139,3377.111091
2.790000,2.252038,3336.320901
2.800000,2.243995,3306.144845
2.810000,2.236009,3287.668392
2.820000,2.228080,3281.377228
2.830000,2.220207,3287.135666
2.840000,2.212389,3304.196352
2.850000,2.204626,3331.241360
2.860000,2.196918,3366.453187
2.870000,2.189263,3407.612617
2.880000,2.181662,3452.218817
2.890000,2.174113,3497.625624
2.900000,2.166616,3541.186764
2.910000,2.159170,3580.401794
2.920000,2.151776,3613.054132
2.930000,2.144432,3637.332509
2.940000,2.137138,3651.927841
2.950000,2.129893,3656.098715
2.960000,2.122698,3649.700500
2.970000,2.115551,3633.175443
2.980000,2.108451,3607.503748
2.990000,2.101400,3574.118548
3.000000,2.094395,3534.790487
3.010000,2.087437,3491.490112
3.020000,2.080525,3446.238318
3.030000,2.073659,3400.956253
3.040000,2.066837,3357.326460
3.050000,2.060061,3316.676346
3.060000,2.053329,3279.893450
3.070000,2.046640,3247.379453
3.080000,2.039995,3219.046722
3.090000,2.033393,3194.357560
3.100000,2.026834,3172.402675
3.110000,2.020317,3152.011956
3.120000,2.013841,3131.887786
3.130000,2.007407,3110.749124
3.140000,2.001014,3087.473667
3.150000,1.994662,3061.225589
3.160000,1.988350,3031.557730
3.170000,1.982077,2998.479444
3.180000,1.975844,2962.484505
3.190000,1.969651,2924.537060
3.200000,1.963495,2886.017397
