unit_count,start_class,feature_group,feature_name,loose_sample_count,formed_reference_sample_count,loose_mean,formed_reference_mean,formed_reference_std,effective_reference_std,std_floor_used,signed_z_deviation,abs_z_deviation
6,loose_initial,register_phase,refined_angular_phase_score,25,25,0.999623,0.997317,0.002166,0.002166,false,1.064733,1.064733
6,radially_separated,geometric,RMSD_to_formed_seed_A,25,25,25.018579,0.627244,0.093073,0.093073,false,262.066419,262.066419
6,radially_separated,geometric,compactness_score,25,25,0.390735,0.996296,0.004595,0.004595,false,-131.797497,131.797497
6,radially_separated,geometric,radius_of_gyration_A,25,25,31.358933,12.238627,0.085408,0.085408,false,223.868938,223.868938
6,radially_separated,geometric,radial_extent_A,25,25,39.346251,19.016909,0.287144,0.287144,false,70.798491,70.798491
6,radially_separated,geometric,axial_extent_A,25,25,34.404383,33.667749,0.407632,0.407632,false,1.807106,1.807106
6,radially_separated,geometric,helical_axis_alignment_score,25,25,0.036027,0.757174,0.256460,0.256460,false,-2.811921,2.811921
6,radially_separated,contact_recovery,contact_fraction_vs_target,25,25,0.016713,0.798782,0.052824,0.052824,false,-14.805308,14.805308
6,radially_separated,contact_recovery,CYP_MEP_contact_fraction_vs_target,25,25,0.013707,0.803763,0.051347,0.051347,false,-15.386744,15.386744
6,radially_separated,contact_recovery,backbone_contact_fraction_vs_target,25,25,0.045758,0.749697,0.147784,0.147784,false,-4.763311,4.763311
6,radially_separated,register_phase,axial_register_score,25,25,0.785182,0.892953,0.031662,0.031662,false,-3.403763,3.403763
6,radially_separated,register_phase,angular_phase_order_score,25,25,0.993663,0.964478,0.014374,0.014374,false,2.030384,2.030384
6,radially_separated,register_phase,refined_angular_phase_score,25,25,0.999927,0.997317,0.002166,0.002166,false,1.205297,1.205297
7,angular_randomized_loose_initial,geometric,RMSD_to_formed_seed_A,25,25,21.224504,0.632980,0.099685,0.099685,false,206.566292,206.566292
7,angular_randomized_loose_initial,geometric,compactness_score,25,25,0.613691,0.997950,0.002538,0.002538,false,-151.426421,151.426421
7,angular_randomized_loose_initial,geometric,radius_of_gyration_A,25,25,20.786477,12.735563,0.061895,0.061895,false,130.074471,130.074471
7,angular_randomized_loose_initial,geometric,radial_extent_A,25,25,33.213345,21.192618,0.532808,0.532808,false,22.561086,22.561086
7,angular_randomized_loose_initial,geometric,axial_extent_A,25,25,43.245456,33.718921,0.354825,0.354825,false,26.848564,26.848564
7,angular_randomized_loose_initial,geometric,helical_axis_alignment_score,25,25,0.175347,0.678850,0.234212,0.234212,false,-2.149773,2.149773
7,angular_randomized_loose_initial,contact_recovery,contact_fraction_vs_target,25,25,0.004929,0.805266,0.048610,0.048610,false,-16.464505,16.464505
7,angular_randomized_loose_initial,contact_recovery,CYP_MEP_contact_fraction_vs_target,25,25,0.005167,0.810373,0.044897,0.044897,false,-17.934373,17.934373
7,angular_randomized_loose_initial,contact_recovery,backbone_contact_fraction_vs_target,25,25,0.002667,0.752889,0.117983,0.117983,false,-6.358713,6.358713
7,angular_randomized_loose_initial,register_phase,axial_register_score,25,25,0.409482,0.884862,0.033316,0.033316,false,-14.268847,14.268847
7,angular_randomized_loose_initial,register_phase,angular_phase_order_score,25,25,0.528056,0.952307,0.025819,0.025819,false,-16.431514,16.431514
7,angular_randomized_loose_initial,register_phase,refined_angular_phase_score,25,25,0.690051,0.992241,0.007306,0.007306,false,-41.360198,41.360198
7,axially_misregistered,geometric,RMSD_to_formed_seed_A,25,25,16.914989,0.632980,0.099685,0.099685,false,163.334893,163.334893
7,axially_misregistered,geometric,compactness_score,25,25,0.563046,0.997950,0.002538,0.002538,false,-171.384240,171.384240
7,axially_misregistered,geometric,radius_of_gyration_A,25,25,22.668287,12.735563,0.061895,0.061895,false,160.477906,160.477906
7,axially_misregistered,geometric,radial_extent_A,25,25,34.696500,21.192618,0.532808,0.532808,false,25.344744,25.344744
7,axially_misregistered,geometric,axial_extent_A,25,25,58.594663,33.718921,0.354825,0.354825,false,70.107117,70.107117
7,axially_misregistered,geometric,helical_axis_alignment_score,25,25,0.200084,0.678850,0.234212,0.234212,false,-2.044155,2.044155
7,axially_misregistered,contact_recovery,contact_fraction_vs_target,25,25,0.005089,0.805266,0.048610,0.048610,false,-16.461221,16.461221
7,axially_misregistered,contact_recovery,CYP_MEP_contact_fraction_vs_target,25,25,0.005109,0.810373,0.044897,0.044897,false,-17.935668,17.935668
7,axially_misregistered,contact_recovery,backbone_contact_fraction_vs_target,25,25,0.005111,0.752889,0.117983,0.117983,false,-6.337994,6.337994
7,axially_misregistered,register_phase,axial_register_score,25,25,0.234223,0.884862,0.033316,0.033316,false,-19.529367,19.529367
