unit_count,pair_id,t,compactness_score,contact_fraction_vs_target,CYP_MEP_contact_fraction_vs_target,axial_register_score,angular_phase_order_score,refined_angular_phase_score,rmsd_formedness_score,seed_formation_score,notes
6,1,0.400,0.741710,0.346897,0.352897,0.572357,0.982266,,0.513689,0.631384,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,1,0.450,0.763234,0.386667,0.393271,0.598539,0.981329,,0.545933,0.655141,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,1,0.500,0.784759,0.426437,0.433645,0.624721,0.980391,,0.578178,0.678897,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,1,0.550,0.806283,0.466207,0.474019,0.650902,0.979453,,0.610422,0.702654,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,1,0.600,0.827807,0.505977,0.514393,0.677084,0.978516,,0.642666,0.726410,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,1,0.650,0.849331,0.545747,0.554766,0.703265,0.977579,,0.674910,0.750166,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,1,0.700,0.870855,0.585517,0.595140,0.729447,0.976641,,0.707155,0.773923,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,1,0.750,0.892379,0.625287,0.635514,0.755628,0.975704,,0.739399,0.797679,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,1,0.800,0.913903,0.665058,0.675888,0.781810,0.974766,,0.771643,0.821436,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,1,0.850,0.935428,0.704828,0.716262,0.807991,0.973828,,0.803888,0.845193,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,1,0.900,0.956952,0.744598,0.756635,0.834173,0.972891,,0.836132,0.868949,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,1,0.950,0.978476,0.784368,0.797009,0.860354,0.971954,,0.868376,0.892705,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,1,1.000,1.000000,0.824138,0.837383,0.886536,0.971016,,0.900620,0.916462,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,2,0.000,0.591508,0.050575,0.054206,0.356437,0.986087,,0.271260,0.451173,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,2,0.050,0.611588,0.086523,0.089253,0.381011,0.984703,,0.301934,0.473151,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,2,0.100,0.631668,0.122472,0.124299,0.405585,0.983319,,0.332608,0.495130,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,2,0.150,0.651748,0.158420,0.159346,0.430159,0.981935,,0.363282,0.517108,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,2,0.200,0.671828,0.194368,0.194393,0.454734,0.980550,,0.393956,0.539087,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,2,0.250,0.691908,0.230316,0.229440,0.479308,0.979166,,0.424630,0.561065,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,2,0.300,0.711988,0.266264,0.264486,0.503882,0.977782,,0.455304,0.583044,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,2,0.350,0.732068,0.302213,0.299533,0.528456,0.976398,,0.485978,0.605022,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,2,0.400,0.752148,0.338161,0.334580,0.553030,0.975014,,0.516652,0.627001,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,2,0.450,0.772228,0.374109,0.369626,0.577604,0.973630,,0.547326,0.648979,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,2,0.500,0.792308,0.410057,0.404673,0.602178,0.972246,,0.578000,0.670957,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,2,0.550,0.812388,0.446006,0.439720,0.626753,0.970861,,0.608674,0.692936,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,2,0.600,0.832468,0.481954,0.474766,0.651327,0.969477,,0.639348,0.714914,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,2,0.650,0.852548,0.517902,0.509813,0.675901,0.968093,,0.670022,0.736893,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,2,0.700,0.872628,0.553851,0.544860,0.700475,0.966709,,0.700696,0.758871,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,2,0.750,0.892708,0.589799,0.579906,0.725049,0.965325,,0.731370,0.780850,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,2,0.800,0.912788,0.625747,0.614953,0.749623,0.963941,,0.762044,0.802828,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,2,0.850,0.932868,0.661695,0.650000,0.774198,0.962556,,0.792718,0.824807,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,2,0.900,0.952948,0.697643,0.685047,0.798772,0.961172,,0.823392,0.846785,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,2,0.950,0.973028,0.733592,0.720093,0.823346,0.959788,,0.854066,0.868764,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,2,1.000,0.993108,0.769540,0.755140,0.847920,0.958404,,0.884740,0.890742,linear interpolation in oriented order-parameter space; not atomistic dynamics
7,0,0.000,0.537859,0.013298,0.014514,0.375200,0.987074,,0.217416,0.426169,linear interpolation in oriented order-parameter space; not atomistic dynamics
7,0,0.050,0.560617,0.050532,0.052153,0.400282,0.983958,,0.250377,0.449153,linear interpolation in oriented order-parameter space; not atomistic dynamics
