structure_id,source_pdb,distance_window,window_type,atom_pair_class,residue_pair_class,chain_relation,pair_count,fraction_of_window,backbone_involving
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,known,backbone_like_vs_base_like,CYP_MEP_vs_GLU,interchain,21,0.007457,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,known,backbone_like_vs_base_like,CYP_MEP_vs_GLU,same_chain,218,0.077415,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,known,backbone_like_vs_scaffold_linker,CYP_MEP_vs_GLU,same_chain,234,0.083097,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,known,base_like_vs_base_like,CYP_MEP_vs_CYP_MEP,interchain,987,0.350497,no
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,known,base_like_vs_base_like,CYP_MEP_vs_CYP_MEP,same_chain,702,0.249290,no
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,known,scaffold_linker_vs_scaffold_linker,GLU_vs_GLU,interchain,33,0.011719,no
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_5p0_6p0,exploratory_guessed,backbone_like_vs_backbone_like,CYP_MEP_vs_CYP_MEP,interchain,198,0.027766,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_5p0_6p0,exploratory_guessed,backbone_like_vs_backbone_like,CYP_MEP_vs_CYP_MEP,same_chain,108,0.015145,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_5p0_6p0,exploratory_guessed,backbone_like_vs_backbone_like,CYP_MEP_vs_GLU,interchain,426,0.059739,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_5p0_6p0,exploratory_guessed,backbone_like_vs_backbone_like,CYP_MEP_vs_GLU,same_chain,156,0.021876,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_5p0_6p0,exploratory_guessed,backbone_like_vs_backbone_like,GLU_vs_GLU,interchain,162,0.022718,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_5p0_6p0,exploratory_guessed,backbone_like_vs_backbone_like,GLU_vs_GLU,same_chain,108,0.015145,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_5p0_6p0,exploratory_guessed,backbone_like_vs_base_like,CYP_MEP_vs_CYP_MEP,interchain,393,0.055111,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_5p0_6p0,exploratory_guessed,backbone_like_vs_base_like,CYP_MEP_vs_CYP_MEP,same_chain,396,0.055532,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_5p0_6p0,exploratory_guessed,backbone_like_vs_base_like,CYP_MEP_vs_GLU,interchain,324,0.045435,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_5p0_6p0,exploratory_guessed,backbone_like_vs_base_like,CYP_MEP_vs_GLU,same_chain,711,0.099706,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_5p0_6p0,exploratory_guessed,backbone_like_vs_scaffold_linker,CYP_MEP_vs_GLU,interchain,24,0.003366,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_5p0_6p0,exploratory_guessed,backbone_like_vs_scaffold_linker,CYP_MEP_vs_GLU,same_chain,348,0.048801,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_5p0_6p0,exploratory_guessed,backbone_like_vs_scaffold_linker,GLU_vs_GLU,interchain,168,0.023559,yes
