candidate_id,candidate_label,candidate_family,candidate_role,predicted_peak_rank,predicted_d_angstrom,predicted_q_inv_angstrom,relative_intensity,matched_experimental_window
base_length_scale_1p10,Base-length variant scale 1.10,base_length_variant,candidate,2,5.637662,1.114502,0.234694,yes
base_length_scale_1p10,Base-length variant scale 1.10,base_length_variant,candidate,3,3.328208,1.887858,0.197457,yes
base_length_scale_1p10,Base-length variant scale 1.10,base_length_variant,candidate,4,3.693994,1.700919,0.129251,no
base_length_scale_1p10,Base-length variant scale 1.10,base_length_variant,candidate,5,4.193540,1.498301,0.118012,no
base_length_scale_1p10,Base-length variant scale 1.10,base_length_variant,candidate,6,4.613187,1.362005,0.113440,no
base_length_scale_1p10,Base-length variant scale 1.10,base_length_variant,candidate,7,4.310904,1.457510,0.109538,yes
base_length_scale_1p10,Base-length variant scale 1.10,base_length_variant,candidate,8,3.878156,1.620148,0.101222,no
base_length_scale_1p10,Base-length variant scale 1.10,base_length_variant,candidate,9,4.012012,1.566093,0.097585,no
base_length_scale_1p10,Base-length variant scale 1.10,base_length_variant,candidate,10,6.626807,0.948147,0.086385,no
base_length_scale_1p10,Base-length variant scale 1.10,base_length_variant,candidate,11,5.188157,1.211063,0.060514,no
base_length_scale_1p10,Base-length variant scale 1.10,base_length_variant,candidate,12,3.581075,1.754553,0.041662,no
base_length_scale_1p15,Base-length variant scale 1.15,base_length_variant,candidate,1,3.449745,1.821348,1.000000,no
base_length_scale_1p15,Base-length variant scale 1.15,base_length_variant,candidate,2,5.637662,1.114502,0.220703,yes
base_length_scale_1p15,Base-length variant scale 1.15,base_length_variant,candidate,3,3.328208,1.887858,0.209477,yes
base_length_scale_1p15,Base-length variant scale 1.15,base_length_variant,candidate,4,4.193540,1.498301,0.141823,no
base_length_scale_1p15,Base-length variant scale 1.15,base_length_variant,candidate,5,3.693994,1.700919,0.118321,no
base_length_scale_1p15,Base-length variant scale 1.15,base_length_variant,candidate,6,4.310904,1.457510,0.103335,yes
base_length_scale_1p15,Base-length variant scale 1.15,base_length_variant,candidate,7,3.878156,1.620148,0.098691,no
base_length_scale_1p15,Base-length variant scale 1.15,base_length_variant,candidate,8,4.613187,1.362005,0.097177,no
base_length_scale_1p15,Base-length variant scale 1.15,base_length_variant,candidate,9,4.012012,1.566093,0.092934,no
base_length_scale_1p15,Base-length variant scale 1.15,base_length_variant,candidate,10,6.626807,0.948147,0.087178,no
base_length_scale_1p15,Base-length variant scale 1.15,base_length_variant,candidate,11,5.188157,1.211063,0.056097,no
base_length_scale_1p15,Base-length variant scale 1.15,base_length_variant,candidate,12,4.909510,1.279799,0.038623,no
nick_hexaplex_8hexads,Nick-provided Hexaplex_8Hexads.xyz 8-hexad candidate (not a 16-mer),nick_provided_8hexad,candidate,1,5.711987,1.100000,1.000000,yes
nick_hexaplex_8hexads,Nick-provided Hexaplex_8Hexads.xyz 8-hexad candidate (not a 16-mer),nick_provided_8hexad,candidate,2,3.378057,1.860000,0.759348,yes
nick_hexaplex_8hexads,Nick-provided Hexaplex_8Hexads.xyz 8-hexad candidate (not a 16-mer),nick_provided_8hexad,candidate,3,4.456160,1.410000,0.443706,yes
nick_16mer_antiparallel_30deg_ideal,Nick-confirmed Hexaplex_AntiParallel_30deg_Ideal.pdb 16-mer simulation input,nick_confirmed_16mer_simulation_input,candidate,1,3.449745,1.821348,1.000000,no
nick_16mer_antiparallel_30deg_ideal,Nick-confirmed Hexaplex_AntiParallel_30deg_Ideal.pdb 16-mer simulation input,nick_confirmed_16mer_simulation_input,candidate,2,5.637662,1.114502,0.272677,yes
nick_16mer_antiparallel_30deg_ideal,Nick-confirmed Hexaplex_AntiParallel_30deg_Ideal.pdb 16-mer simulation input,nick_confirmed_16mer_simulation_input,candidate,3,3.328208,1.887858,0.187167,yes
nick_16mer_antiparallel_30deg_ideal,Nick-confirmed Hexaplex_AntiParallel_30deg_Ideal.pdb 16-mer simulation input,nick_confirmed_16mer_simulation_input,candidate,4,3.693994,1.700919,0.186220,no
nick_16mer_antiparallel_30deg_ideal,Nick-confirmed Hexaplex_AntiParallel_30deg_Ideal.pdb 16-mer simulation input,nick_confirmed_16mer_simulation_input,candidate,5,4.012012,1.566093,0.141767,no
