model_id,d_A,intensity
angle27_cand10,2.121292841858658,2613842.9696446154
angle27_cand10,2.1041367368589317,2892811.422250642
angle27_cand10,2.087299953667518,2611643.0292780492
angle27_cand10,2.054550671808726,2525832.1662626
angle27_cand10,2.0229805241837067,2477691.6081669317
angle27_cand10,1.9925293892289613,2473970.4052755735
angle27_cand10,1.9777057635652266,1977623.4223786106
angle27_cand18,445.0130562565878,7739670527.987278
angle27_cand18,89.00503999841906,3988980432.8461785
angle27_cand18,63.5767633212819,2231010191.705566
angle27_cand18,40.46125183167113,591021387.3969862
angle27_cand18,29.675091945324713,112448050.2653476
angle27_cand18,26.18580879442811,46828757.7790108
angle27_cand18,23.43132431885384,11147310.558992617
angle27_cand18,21.20169597173345,9928597.26597589
angle27_cand18,19.36000469388422,11972731.653727436
angle27_cand18,16.495600130686242,9780397.799673846
angle27_cand18,15.359924226752971,8091961.261492337
angle27_cand18,14.370917190024475,4899880.165510543
angle27_cand18,13.501911881730377,5649210.141578893
angle27_cand18,12.732336504650608,5228646.58127016
angle27_cand18,12.04606721352027,7744315.20682835
angle27_cand18,11.430287614541383,6874743.724862658
angle27_cand18,10.874682069916327,3832191.7546778107
angle27_cand18,10.370854126698163,2827198.4531240417
angle27_cand18,9.911900031281524,1772216.5928088468
angle27_cand18,9.492091133811293,1916966.1535517266
angle27_cand18,9.106634071104004,2725524.8635151386
angle27_cand18,8.751487377117718,2678574.3565250756
angle27_cand18,8.423219615580143,2400574.5213825167
angle27_cand18,8.118898465498383,2776490.0186639535
angle27_cand18,7.836003157088168,2301099.7596675768
angle27_cand18,7.572354717345019,2818554.961770828
angle27_cand18,7.326059937798561,2850405.014235965
angle27_cand18,7.095466015075968,3676592.0308576063
angle27_cand18,6.879123565515574,4243948.437670548
angle27_cand18,6.675756264029209,5279678.039693172
angle27_cand18,6.484235763162709,4960470.33441509
angle27_cand18,6.303560851188807,6023176.561122216
angle27_cand18,6.13284003626726,5863817.605660681
angle27_cand18,5.9712769171396785,7198672.106396613
angle27_cand18,5.818157833716352,6259820.475830259
angle27_cand18,5.672841393523596,7323783.216310822
angle27_cand18,5.534749549788793,7046939.753914092
angle27_cand18,5.403359969441125,6290036.986845693
angle27_cand18,5.278199478571246,4589429.587358389
angle27_cand18,5.158838411965753,3700062.039837122
angle27_cand18,5.044885724502379,3304796.021021476
angle27_cand18,4.935984747196603,1938523.157870185
angle27_cand18,4.831809490855344,1913231.4480821625
angle27_cand18,4.732061416637764,2496385.2474547117
angle27_cand18,4.636466606134514,3407822.165424447
angle27_cand18,4.54477327446784,4242701.832100251
angle27_cand18,4.456749578865149,4725839.483999289
angle27_cand18,4.37218168254452,5016706.729968102
angle27_cand18,4.290872039870627,5778352.659334454
angle27_cand18,4.212637873829762,3786124.539626032
angle27_cand18,4.137309821122427,3273121.3899314483
angle27_cand18,4.064730723732543,2707286.90163914
angle27_cand18,3.99475454882572,2903255.307802481
angle27_cand18,3.927245421353911,2666647.847782976
angle27_cand18,3.862076755880224,2528609.745146725
angle27_cand18,3.7991304759509172,2673376.262354534
