model_id,rise_label,rise_A,twist_deg,sidechain_variant,candidate_id,coordinate_file,coordinate_status,diffraction_status,diffraction_file,score_status,base_rmsd,helical_rmsd,combined_rmsd,notes
rise3p38_twist31_sidechain_cand14,rise3p38,3.380,31.000,sidechain,cand14,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand14\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand15,rise3p38,3.380,31.000,sidechain,cand15,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand15\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand16,rise3p38,3.380,31.000,sidechain,cand16,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand16\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand17,rise3p38,3.380,31.000,sidechain,cand17,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand17\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand18,rise3p38,3.380,31.000,sidechain,cand18,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand18\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand19,rise3p38,3.380,31.000,sidechain,cand19,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand19\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand2,rise3p38,3.380,31.000,sidechain,cand2,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand2\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand20,rise3p38,3.380,31.000,sidechain,cand20,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand20\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand21,rise3p38,3.380,31.000,sidechain,cand21,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand21\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand22,rise3p38,3.380,31.000,sidechain,cand22,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand22\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand23,rise3p38,3.380,31.000,sidechain,cand23,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand23\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand24,rise3p38,3.380,31.000,sidechain,cand24,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand24\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand25,rise3p38,3.380,31.000,sidechain,cand25,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand25\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand3,rise3p38,3.380,31.000,sidechain,cand3,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand3\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand4,rise3p38,3.380,31.000,sidechain,cand4,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand4\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand5,rise3p38,3.380,31.000,sidechain,cand5,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand5\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand6,rise3p38,3.380,31.000,sidechain,cand6,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand6\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand7,rise3p38,3.380,31.000,sidechain,cand7,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand7\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand8,rise3p38,3.380,31.000,sidechain,cand8,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand8\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand9,rise3p38,3.380,31.000,sidechain,cand9,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand9\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist32_sidechain_cand0,rise3p38,3.380,32.000,sidechain,cand0,inputs\asem_matched_twist_scan\rise3p38\sidechain\32\cand0\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist32_sidechain_cand1,rise3p38,3.380,32.000,sidechain,cand1,inputs\asem_matched_twist_scan\rise3p38\sidechain\32\cand1\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist32_sidechain_cand2,rise3p38,3.380,32.000,sidechain,cand2,inputs\asem_matched_twist_scan\rise3p38\sidechain\32\cand2\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist32_sidechain_cand3,rise3p38,3.380,32.000,sidechain,cand3,inputs\asem_matched_twist_scan\rise3p38\sidechain\32\cand3\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist32_sidechain_cand4,rise3p38,3.380,32.000,sidechain,cand4,inputs\asem_matched_twist_scan\rise3p38\sidechain\32\cand4\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist32_sidechain_cand5,rise3p38,3.380,32.000,sidechain,cand5,inputs\asem_matched_twist_scan\rise3p38\sidechain\32\cand5\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand0,rise3p38,3.380,28.000,glu_ablated,cand0,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand0\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand1,rise3p38,3.380,28.000,glu_ablated,cand1,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand1\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
