rise_label,twist_deg,candidate_id,source_pdb,dest_pdb,status,kept_atoms,removed_atoms
rise3p38,20,cand20,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand20\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand20\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand21,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand21\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand21\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand22,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand22\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand22\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand23,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand23\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand23\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand24,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand24\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand24\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand25,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand25\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand25\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand26,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand26\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand26\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand27,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand27\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand27\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand28,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand28\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand28\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand29,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand29\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand29\initial.pdb,glu_ablated,2364,1446
