model_id,twist_deg,rise_A,candidate_id,xyz_file,corrected_diffraction_npy,corrected_diffraction_png,corrected_diffraction_json,radial_profile_csv,status,runtime_seconds,notes
angle31_cand6,31,3.38,cand6,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand6.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand6.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand6.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand6.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand6_radial.csv,complete,1.525272300,
angle31_cand7,31,3.38,cand7,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand7.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand7.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand7.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand7.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand7_radial.csv,complete,1.500551700,
angle31_cand8,31,3.38,cand8,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand8.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand8.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand8.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand8.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand8_radial.csv,complete,1.490951000,
angle31_cand9,31,3.38,cand9,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand9.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand9.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand9.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand9.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand9_radial.csv,complete,1.527655301,
angle31_cand10,31,3.38,cand10,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand10.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand10.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand10.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand10.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand10_radial.csv,complete,1.522219100,
angle31_cand11,31,3.38,cand11,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand11.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand11.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand11.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand11.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand11_radial.csv,complete,1.501222700,
angle31_cand12,31,3.38,cand12,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand12.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand12.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand12.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand12.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand12_radial.csv,complete,1.497710300,
angle31_cand13,31,3.38,cand13,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand13.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand13.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand13.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand13.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand13_radial.csv,complete,1.530236800,
angle31_cand14,31,3.38,cand14,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand14.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand14.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand14.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand14.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand14_radial.csv,complete,1.536873600,
angle31_cand15,31,3.38,cand15,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand15.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand15.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand15.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand15.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand15_radial.csv,complete,1.520717900,
