bin_index,q_Ainv,d_A,mean_intensity,intensity_norm,pixel_count
50,0.40705229,15.43581873,2121886.29044,0.00396563828699,8
51,0.41509704,15.13666596,17678978.0229,0.0330406169446,28
52,0.42314088,14.84892047,6225959.00631,0.0116358268206,20
54,0.43922573,14.30513956,4728771.98235,0.00883770224076,16
55,0.44726670,14.04796145,11860393.772,0.0221661414435,20
56,0.45530668,13.79989717,7189795.75225,0.0134371617552,24
57,0.46334565,13.56047122,9711222.3872,0.0181495094651,8
58,0.47138359,13.32924060,5061411.64465,0.00945937955991,16
59,0.47942049,13.10579211,2641791.60137,0.00493730034819,12
60,0.48745633,12.88973985,2736421.37897,0.00511415594638,28
61,0.49549109,12.68072303,389026.717022,0.000727060281522,16
62,0.50352476,12.47840394,2766035.05428,0.00516950157218,16
63,0.51155731,12.28246615,3021173.62597,0.00564633545952,16
64,0.51958873,12.09261287,3013990.4188,0.00563291061131,20
65,0.52761899,11.90856540,5691848.03505,0.0106376154996,28
66,0.53564810,11.73006183,3191355.73421,0.00596439241067,24
67,0.54367602,11.55685576,2871727.77958,0.00536703294791,8
68,0.55170273,11.38871518,2955771.86434,0.00552410472024,24
69,0.55972823,11.22542144,8631210.56519,0.0161310524671,20
70,0.56775250,11.06676829,4548907.24879,0.00850154922581,32
72,0.58379724,10.76261563,4506011.05082,0.00842137961174,28
73,0.59181769,10.61675820,2529510.47364,0.00472745576745,16
74,0.59983683,10.47482411,1703635.4651,0.00318396044968,36
75,0.60785465,10.33665744,4586322.62294,0.00857147561203,16
76,0.61587113,10.20211047,1804004.92366,0.00337154305932,24
77,0.62388625,10.07104307,555653.896111,0.00103847335018,16
78,0.63190000,9.94332227,3546969.90114,0.00662900726874,16
79,0.63991235,9.81882177,2591905.05215,0.00484406631842,40
80,0.64792329,9.69742156,1294515.54822,0.00241934756082,8
81,0.65593281,9.57900751,749076.538636,0.0013999650287,24
82,0.66394088,9.46347105,3633221.15307,0.00679020406259,24
83,0.67194749,9.35070878,3890670.46668,0.00727135654452,36
84,0.67995262,9.24062220,5609217.50056,0.0104831855413,16
85,0.68795626,9.13311744,3080631.54871,0.00575745763225,36
86,0.69595838,9.02810494,3208305.57812,0.0059960703334,16
87,0.70395897,8.92549926,1314106.83297,0.00245596212837,16
88,0.71195802,8.82521881,5099865.92969,0.0095312475887,36
89,0.71995550,8.72718564,2499997.20765,0.00467229779875,32
90,0.72795140,8.63132525,3771262.52065,0.0070481925019,16
91,0.73594570,8.53756642,1992158.11566,0.00372318655,28
92,0.74393839,8.44584097,5642280.82503,0.0105449782896,36
93,0.75192944,8.35608366,2253543.1059,0.00421169450145,40
94,0.75991884,8.26823201,498633.375881,0.000931906490688,8
95,0.76790658,8.18222616,3105290.87088,0.0058035439624,40
