bin_index,r_min_mm,r_max_mm,r_center_mm,radius_mm,two_theta_deg,q_center_inv_angstrom,q_Ainv,d_center_angstrom,d_A,mean_intensity,intensity_mean,intensity_sum,intensity_total,pixel_count,sample_count
115,67.7643998637108,68.3536555146996,68.05902768920521,68.05902768920521,11.37162551435509,1.6066492721339234,1.6066492721339234,3.910738588786319,3.910738588786319,1104055.0191889158,1104055.0191889158,8832440.153511327,8832440.153511327,8,8
116,68.3536555146996,68.94291116568839,68.64828334019398,68.64828334019398,11.467483557506071,1.6201476024940114,1.6201476024940114,3.878156099794501,3.878156099794501,1673007.8306224102,1673007.8306224102,13384062.644979281,13384062.644979281,8,8
118,69.53216681667718,70.12142246766597,69.82679464217156,69.82679464217156,11.659004105194251,1.6471133234859814,1.6471133234859814,3.8146648549243323,3.8146648549243323,634873.7122028077,634873.7122028077,5078989.697622461,5078989.697622461,8,8
120,70.71067811865476,71.29993376964354,71.00530594414914,71.00530594414914,11.850260819609007,1.674037305838662,1.674037305838662,3.7533125965982137,3.7533125965982137,986297.1666681052,986297.1666681052,7890377.333344841,7890377.333344841,8,8
121,71.29993376964354,71.88918942063233,71.59456159513795,71.59456159513795,11.945789079095155,1.6874834642420544,1.6874834642420544,3.7234055564519117,3.7234055564519117,1442242.1792044365,1442242.1792044365,11537937.433635492,11537937.433635492,8,8
122,71.88918942063233,72.47844507162112,72.18381724612672,72.18381724612672,12.0412499922271,1.7009189717664106,1.7009189717664106,3.6939944885525473,3.6939944885525473,3080620.40667375,3080620.40667375,24644963.25339,24644963.25339,8,8
124,73.06770072260991,73.6569563735987,73.3623285481043,73.3623285481043,12.23196794867481,1.7277577492644094,1.7277577492644094,3.6366124301017573,3.6366124301017573,745490.0080906224,745490.0080906224,8945880.097087469,8945880.097087469,12,12
126,74.24621202458749,74.83546767557628,74.54083985008188,74.54083985008188,12.422411049046223,1.7545530721601406,1.7545530721601406,3.581074523692784,3.581074523692784,2439054.825018607,2439054.825018607,39024877.20029771,39024877.20029771,16,16
127,74.83546767557628,75.42472332656507,75.13009550107068,75.13009550107068,12.517528400233536,1.7679342628102737,1.7679342628102737,3.5539699859608795,3.5539699859608795,754403.6594508633,754403.6594508633,754403.6594508633,754403.6594508633,1,1
128,75.42472332656507,76.01397897755386,75.71935115205946,75.71935115205946,12.612575688211288,1.7813043801630528,1.7813043801630528,3.527294592182191,3.527294592182191,1119475.829179632,1119475.829179632,21270040.75441301,21270040.75441301,19,19
131,77.19249027953144,77.78174593052023,77.48711810502584,77.48711810502584,12.897292732360107,1.8213476032120728,1.8213476032120728,3.449745285358354,3.449745285358354,6039218.255657572,6039218.255657572,48313746.04526058,48313746.04526058,8,8
132,77.78174593052023,78.37100158150902,78.07637375601462,78.07637375601462,12.992055338058126,1.83467274002332,1.83467274002332,3.4246899570218297,3.4246899570218297,790856.897513523,790856.897513523,6326855.180108184,6326855.180108184,8,8
135,79.5495128834866,80.13876853447539,79.844140708981,79.844140708981,13.275907820428479,1.8745793913511366,1.8745793913511366,3.3517840514884076,3.3517840514884076,551738.9007939101,551738.9007939101,2206955.6031756406,2206955.6031756406,4,4
