bin_index,q_Ainv,d_A,mean_intensity,intensity_norm,pixel_count
320,2.49321645678,2.52011223899,81772.0914142,0.00880613224815,40
321,2.50045032982,2.51282148349,104444.46099,0.0112477462684,60
322,2.50767951718,2.50557747277,96472.9000716,0.0103892795415,40
323,2.51490401013,2.4983797719,73789.4105141,0.00794646799736,48
324,2.52212379996,2.49122795133,100009.913633,0.0107701846724,56
325,2.52933887803,2.48412158677,87137.2250934,0.00938390977457,48
326,2.53654923574,2.47706025913,79919.7747226,0.00860665409528,40
327,2.54375486453,2.47004355443,70464.1247016,0.00758836407557,32
328,2.55095575588,2.46307106374,105950.122605,0.0114098927302,60
329,2.55815190131,2.45614238308,82057.9277792,0.00883691430091,40
330,2.5653432924,2.44925711338,65557.5152284,0.00705996555766,32
331,2.57252992076,2.44241486035,122011.515532,0.0131395629363,40
332,2.57971177805,2.43561523448,78504.9257094,0.00845428734881,56
333,2.58688885597,2.42885785088,72916.8389129,0.00785249974018,24
334,2.59406114626,2.42214232931,100353.158452,0.0108071491088,52
335,2.60122864072,2.41546829403,92488.0071558,0.0099601417586,40
336,2.60839133116,2.40883537379,76212.1393389,0.0082073745006,40
337,2.61554920948,2.4022432017,88779.6311186,0.00956078240206,32
338,2.62270226758,2.39569141524,106407.409373,0.0114591384776,48
339,2.62985049744,2.38917965615,82995.2028739,0.00893785055304,40
340,2.63699389104,2.38270757036,71193.4047569,0.00766690109844,16
341,2.64413244046,2.37627480796,111176.32212,0.0119727082739,52
342,2.65126613777,2.36988102314,100460.607749,0.0108187204493,32
343,2.65839497511,2.36352587407,70306.3452121,0.00757137261765,32
344,2.66551894467,2.35720902294,118933.659303,0.012808104996,40
345,2.67263803866,2.35093013581,105131.476101,0.0113217317299,32
346,2.67975224935,2.3446888826,85089.3483566,0.00916337153151,24
347,2.68686156905,2.33848493706,97097.9801331,0.010456595145,36
348,2.69396599012,2.33231797663,119338.808303,0.0128517359662,40
349,2.70106550494,2.32618768248,108910.764743,0.0117287277479,16
350,2.70816010597,2.32009373941,89401.3104855,0.00962773178083,32
351,2.71524978567,2.31403583579,121334.218582,0.0130666240349,48
352,2.72233453659,2.30801366354,105547.762365,0.011366562085,32
353,2.72941435127,2.30202691806,96109.275905,0.0103501204293,16
354,2.73648922235,2.29607529818,132441.006265,0.0142627270023,36
355,2.74355914247,2.29015850612,111670.597569,0.0120259373757,32
356,2.75062410433,2.28427624745,106398.871628,0.0114582190379,16
357,2.75768410067,2.27842823101,115485.812614,0.01243680235,32
358,2.76473912429,2.27261416891,134425.0693,0.0144763930731,32
359,2.77178916799,2.26683377644,116036.752226,0.0124961336817,16
360,2.77883422466,2.26108677208,117990.166587,0.012706499161,28
361,2.78587428721,2.25537287739,128918.413008,0.0138833748108,40
362,2.79290934859,2.24969181701,148467.330658,0.0159886206369,8
363,2.79993940181,2.24404331862,121010.994376,0.0130318156418,24
364,2.8069644399,2.23842711289,133293.578938,0.0143545415515,40
365,2.81398445595,2.2328429334,122922.619222,0.0132376807593,16
366,2.82099944309,2.22729051669,145365.344624,0.0156545641296,16
367,2.82800939449,2.22176960212,133636.980272,0.0143915228432,28
368,2.83501430335,2.2162799319,135979.515447,0.0146437931984,32
369,2.84201416295,2.21082125103,146497.60204,0.0157764982562,8
370,2.84900896656,2.20539330726,136064.415543,0.0146529361891,24
371,2.85599870755,2.19999585104,137319.653933,0.0147881142807,32
372,2.86298337928,2.19462863552,146248.859726,0.0157497109052,8
373,2.86996297519,2.18929141648,144202.464421,0.0155293321993,8
374,2.87693748873,2.18398395231,136735.502968,0.0147252063795,44
375,2.88390691344,2.17870600397,143915.228218,0.0154983993963,8
376,2.89087124284,2.17345733496,143450.669616,0.0154483705367,16
377,2.89783047055,2.16823771129,134074.606857,0.0144386513624,24
378,2.9047845902,2.16304690144,140105.00653,0.0150880721625,16
379,2.91173359547,2.15788467632,143063.507197,0.0154066765626,16
380,2.91867748008,2.15275080925,132755.02411,0.0142965439516,20
381,2.92561623779,2.14764507594,137968.757669,0.0148580170219,16
382,2.93254986242,2.14256725442,141292.133007,0.0152159152024,16
383,2.93947834781,2.13751712506,130246.021098,0.0140263464802,8
384,2.94640168785,2.13249447049,134628.215492,0.0144982701244,24
385,2.95331987647,2.12749907561,139225.931789,0.0149934035745,16
387,2.9671407754,2.11758921561,131767.359293,0.0141901811713,28
388,2.97404347378,2.11267433128,137153.427404,0.0147702131512,16
390,2.98783333888,2.10292362208,129806.281425,0.0139789904,24
391,2.99472049393,2.09808739077,134823.16179,0.0145192641193,16
393,3.00847922012,2.0884921741,127779.859764,0.0137607626792,20
394,3.01535077985,2.0837327946,131994.872301,0.0142146823134,16
397,3.03593417785,2.06960524804,127294.390972,0.0137084819767,32
400,3.0564705376,2.05569961493,124836.651913,0.0134438051804,28
403,3.07695971209,2.04201091177,122321.388279,0.0131729334952,24
406,3.09740155765,2.02853430213,118913.74168,0.0128059600439,12
407,3.10420496428,2.02408841539,120774.905533,0.0130063909579,8
410,3.12458348683,2.01088731784,116696.661652,0.0125672001004,16
413,3.14491435806,1.9978875708,113414.921413,0.0122137856523,12
416,3.16519744527,1.98508479039,110045.673301,0.0118509473791,8
419,3.18543261904,1.97247471807,106965.361511,0.0115192249966,4
