model_id,target_label,observed_d_A,observed_intensity,target_d_A,delta_d_A,window_min_d_A,window_max_d_A,peak_status
angle31_cand13,B,4.544773274,2903938.013211850,4.400000000,0.144773274,4.200000000,4.600000000,found
angle31_cand13,C,5.534749550,6959800.709634397,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle31_cand13,D,7.326059938,3277546.407428033,7.300000000,0.026059938,7.100000000,7.500000000,found
angle32_cand0,base,3.363705721,14106999.458919685,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle32_cand0,A,3.738296311,3309786.640170635,3.800000000,-0.061703689,3.600000000,4.000000000,found
angle32_cand0,B,4.544773274,2532353.257616397,4.400000000,0.144773274,4.200000000,4.600000000,found
angle32_cand0,C,5.534749550,4813862.464177923,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle32_cand0,D,7.326059938,3591351.025689167,7.300000000,0.026059938,7.100000000,7.500000000,found
angle32_cand1,base,3.363705721,14058386.517445747,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle32_cand1,A,3.738296311,3322408.764866255,3.800000000,-0.061703689,3.600000000,4.000000000,found
angle32_cand1,B,4.544773274,2566209.918276412,4.400000000,0.144773274,4.200000000,4.600000000,found
angle32_cand1,C,5.534749550,5152146.745004720,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle32_cand1,D,7.326059938,3444064.171085309,7.300000000,0.026059938,7.100000000,7.500000000,found
angle32_cand2,base,3.363705721,13127397.046218226,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle32_cand2,A,3.738296311,3389410.269244434,3.800000000,-0.061703689,3.600000000,4.000000000,found
angle32_cand2,B,4.544773274,2715693.883688093,4.400000000,0.144773274,4.200000000,4.600000000,found
angle32_cand2,C,5.534749550,5649461.235711453,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle32_cand2,D,7.326059938,3276190.649019050,7.300000000,0.026059938,7.100000000,7.500000000,found
angle32_cand3,base,3.363705721,13556419.021025205,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle32_cand3,A,3.738296311,3364307.579738251,3.800000000,-0.061703689,3.600000000,4.000000000,found
angle32_cand3,B,4.544773274,2588129.619846498,4.400000000,0.144773274,4.200000000,4.600000000,found
angle32_cand3,C,5.534749550,5361776.156225995,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle32_cand3,D,7.326059938,3354019.315706554,7.300000000,0.026059938,7.100000000,7.500000000,found
angle32_cand4,base,3.363705721,10123842.501354074,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle32_cand4,A,3.738296311,3244195.956435656,3.800000000,-0.061703689,3.600000000,4.000000000,found
angle32_cand4,B,4.290872040,2376170.804606656,4.400000000,-0.109127960,4.200000000,4.600000000,found
angle32_cand4,C,5.534749550,5440516.483638575,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle32_cand4,D,7.326059938,2969665.279230173,7.300000000,0.026059938,7.100000000,7.500000000,found
